City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
510,Ancud,CL,79.23,few clouds,-41.8697,-73.8203,Hotel Arena Gruesa
528,Kirakira,SB,79.48,moderate rain,-10.4544,161.9205,SanBiz Lodge
530,Espinosa,BR,77.65,few clouds,-14.9261,-42.8192,Hotel Vilma
533,Richards Bay,ZA,75.78,scattered clouds,-28.783,32.0377,BON Hotel Waterfront Richards Bay
549,Kupang,ID,76.93,broken clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
555,Kieta,PG,78.82,overcast clouds,-6.2167,155.6333,Uruna Bay Retreat
556,Eyl,SO,75.07,overcast clouds,7.9803,49.8164,Amiin Hotel
557,Takaungu,KE,77.49,overcast clouds,-3.6837,39.8566,Takaungu House
563,Springbok,ZA,78.4,clear sky,-29.6643,17.8865,Undulata Country Lodge
571,Pontianak,ID,76.98,overcast clouds,-0.0333,109.3333,Aston Pontianak Hotel & Convention Center
576,Bakel,SN,79.43,scattered clouds,14.905,-12.4568,Ablaye Diallo Bakel
599,Makakilo City,US,75.69,clear sky,21.3469,-158.0858,Marriott's Ko Olina Beach Club
601,Sibolga,ID,75.49,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
603,Oro Valley,US,78.58,clear sky,32.3909,-110.9665,"El Conquistador Tucson, A Hilton Resort"
609,Marsh Harbour,BS,75.51,light rain,26.5412,-77.0636,Abaco Beach Resort
613,Poso,ID,76.14,overcast clouds,-1.3959,120.7524,Hotel 77 Poso
621,Maningrida,AU,76.21,clear sky,-12.0667,134.2667,Dhukurrdji Lodge
623,La Asuncion,VE,79.41,overcast clouds,11.0333,-63.8628,Colinas de Matasiete
624,Vanimo,PG,77.4,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
630,Bowen,AU,78.66,scattered clouds,-20.0167,148.2333,Castle Motor Lodge Motel
638,Tizimin,MX,76.73,overcast clouds,21.15,-88.15,silva hogar
640,Miri,MY,75.67,overcast clouds,4.4148,114.0089,"Mega Hotel, Miri"
665,Mojoagung,ID,76.59,overcast clouds,-7.5667,112.35,Sophie
668,Alta Floresta,BR,76.62,overcast clouds,-9.8756,-56.0861,Floresta Amazonica Hotel
672,Leticia,CO,78.85,light rain,-4.2153,-69.9406,Hotel Amazon Bed and Breakfast / Hotel Amazon B&B
675,Ewa Beach,US,77.09,few clouds,21.3156,-158.0072,Uncle Junior Robert
680,San Policarpo,PH,78.64,overcast clouds,12.1791,125.5072,Agapita M. Nicart
681,San Pedro,PH,77.36,overcast clouds,14.35,121.0167,Villa Veronica Resort Private Pool
683,Teluk Nibung,ID,75.04,overcast clouds,3.001,99.8164,Hotel Assyifa
