City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Sao Filipe,CV,14.8961,-24.4956,75.6,59,52,11.52,broken clouds
80,Seoul,KR,37.5683,126.9778,31.44,74,21,2.68,few clouds
81,Jamestown,US,42.097,-79.2353,21.29,33,100,3.0,overcast clouds
82,Plouzane,FR,48.3833,-4.6167,48.25,93,100,12.66,overcast clouds
83,Bilma,NE,18.6853,12.9164,69.84,11,0,6.6,clear sky
84,Port Alfred,ZA,-33.5906,26.891,72.9,84,96,10.2,overcast clouds
85,Auka,HN,14.9333,-83.8333,87.08,49,36,9.22,scattered clouds
86,Kavaratti,IN,10.5669,72.642,80.55,72,66,5.06,broken clouds
87,Pedreiras,BR,-4.5688,-44.6003,78.28,90,100,1.1,overcast clouds
88,Charcas,MX,23.1333,-101.1167,54.25,53,85,9.42,overcast clouds
89,Krasnogorskoye,RU,52.2953,86.1979,14.5,92,100,3.91,overcast clouds
90,Qaqortoq,GL,60.7167,-46.0333,25.43,88,100,8.23,overcast clouds
91,Berezovyy,RU,51.6667,135.7,6.62,98,100,2.33,overcast clouds
92,Sungairaya,ID,0.7,108.9,77.11,89,74,0.58,broken clouds
93,Zhuhai,CN,22.2769,113.5678,59.97,88,40,14.97,scattered clouds
94,Eureka,US,40.8021,-124.1637,48.81,65,82,5.01,broken clouds
95,Upernavik,GL,72.7868,-56.1549,-6.79,96,100,14.14,overcast clouds
96,Dikson,RU,73.5069,80.5464,-4.09,87,100,25.34,overcast clouds
97,Nikolskoye,RU,59.7035,30.7861,33.87,89,100,12.95,snow
98,Constitucion,CL,-35.3333,-72.4167,67.98,70,53,9.31,broken clouds
99,Saskylakh,RU,71.9167,114.0833,-16.6,86,26,3.22,scattered clouds
100,Fort Saint James,CA,54.4333,-124.25,34.38,88,100,2.44,overcast clouds
101,Egvekinot,RU,66.3167,-179.1667,-19.95,92,90,7.23,overcast clouds
